label,version,length_bp,time_s,peak_memory_gb
1M,old,1111523,45.04,2.89
1M,stride2,1111523,20.68,2.31
1M,threaded,1111523,30.43,3.59
2.5M,old,2272360,119.79,5.58
2.5M,stride2,2272360,28.89,3.98
2.5M,threaded,2272360,45.37,6.76
5M,old,5694894,295.76,13.38
5M,stride2,5694894,56.88,10.79
5M,threaded,5694894,85.46,14.71
7M,old,6988208,434.44,19.66
7M,stride2,6988208,68.70,12.67
7M,threaded,6988208,112.28,20.90
12M,old,12157105,443.95,38.88
12M,stride2,12157105,121.38,21.27
12M,threaded,12157105,199.42,38.88
